item_original_name,item_extracted_name,item_price
BLU Vivo 5 Mini, Celular Touch Blu 5 Mini ,195
BLade Zmax,,
BV6000,,
BlackBerry KEY2, Blackberry Key2 Versão 1 Sim 6gb/64gb Black ,1.400
Blade L5, Smartphone Zte Blade L5 Completo Envio Imediato Leia! ,130
Breeze 7Y2241, Conector Micro Usb Tablet Aoc Breeze Aoc 7 7y2241 Novo ,6
C103,,
C13 Pro, Nokia 6060 Para Retirada De Peças #c13-03 ,20
C30 Lite, Xiaomi Mi A2 Lite Dual SIM 64 GB Preto 4 GB RAM ,3.000
C5, TCL C5 Dual SIM 32 GB Preto 2 GB RAM ,597
C9," Smartphone Meizu C9 Preto, Tela 5.45 , 2gb+16gb, Dual Sim ",479
CPH1701,,
CPH1707,,
CPH1723,,
CPH1725,,
CPH1729,,
CPH1893,,
CUBOT X18, Celular Cubot X18 Plus ,700
CUBOT_POWER,,
Cat S61, CAT S61 64 GB Preto/Prata 4 GB RAM ,4.699
Chromebook,,
Chromebook 3,,
Chromebook C202SA/C300SA/C301SA,,
D100 (L20)," LG L20 Single D100 Processador Dual Core, Android 4.4, 2mp ",269
D105, Celular Lg D 105 Para Retirar Peças Os 0442 ,59
D10i,,
D175F L40, Smartphone LG D175f Original Pronta Entrega Leia O Anuncio ,69
D385 L Series III L80 TV Dual, Smartphone LG L80 Tv Dual D385 Android 4.4 Original Seminovo ,1.000
D685 G Pro Lite Dual, Lg G Pro Lite D685 Dual Chip - Android 4 - Bolha No Display ,399
D956 G Flex," LG G Flex D956 - 13mp, 4g, 32gb Wi-fi - Tela De Demonstração ",599
DL_3420, Samsung Galaxy A10s Dual SIM 32 GB Preto 2 GB RAM ,797
DROID RAZR HD, Celular Motorola Razer ,55
Dash X, Celular Blu Dash Jr Tv D141t Original Nota Fiscal Anatel ,139
Defy, Celular Motorola Mb526 Defy 3g Sucata Funcionando Ref: A124 ,39
Dream D1, Xiaomi Mi Max 3 Dual SIM 64 GB Dream gold 4 GB RAM ,1.499
E470f, Smartphone Lg E470f Branco Apenas Partes Pçs. Envio T.brasil ,18
E5006,,
ENERGY_DIAMOND_MINI, Smartphone Blu Energy X2 Dual 3g 5' 8gb Trocar A Tela ,100
Emulator,,
Energy X 2, Smartphone Blu Energy X2 Dual 3g 5' 8gb Trocar A Tela ,100
Energy X LTE, LG K Series K10 LTE Dual SIM 16 GB Dourado 1 GB RAM ,729
FIG-LX1, Celular Figo Orion M50l - 5.0 - Dual-sim - 16gb - 4g Lte ,828
FP2,,
FREDDY,,
FREETEL SAMURAI KIWAMI 2,,
FS8014,,
Fire HD 8 (2018),,
Fly, Celular Smartphone 2chips Android 7dualcore Tela 5 8gb Xfone ,239
FonePad ME371MG, Asus Fonepad 7 (me372cg) Faz Ligação Como Celular ,449
Fortune,,
G Pad 10.1,,
G Pad 8.0,,
G Stylo, Celular LG H 502 Para Retirar Peças Os 2325 ,149
G2 D802,,
G2 D805," LG G2 D805 - Android 4.2, 4g, Wi-fi, 13mp, 16gb - De Vitrine ",649
G2 mini D618, Smartphone LG G2 Mini 8gb D618 Desbloqueado Seminovo ,2.000
G3 Beat, Celular Lg G3 Beat Usado Seminovo Smartphone Preto Excelente ,599
G3 D855, LG G3 D855 - 16gb Com Carregador Sem Fio - De Vitrine ,699
G3 F400L LTE-A (LG B2), Lg G3 D855 16gb 4g Lte Titanio 13mp Original Vitrine ,489
G3 Stylus, Smartphone Lg G3 Stylus Dual D690n 8gb Dual Chip ,499
G4, Motorola Moto G G4 Plus Dual SIM 32 GB Preto 2 GB RAM ,999
G4 H818, LG G Series G4 32 GB Branco-cerâmica 3 GB RAM ,845
G4 Play, Motorola Moto G G4 Play Dual SIM 16 GB Preto 2 GB RAM ,749
G5, Motorola Moto G G5 Dual SIM 32 GB Ouro-fino 2 GB RAM ,819
G5 SE, Smartphone LG G5 H840 32gb Single Chip 4g Dourado Vitrine ,899
G6, Motorola Moto G G6 Plus Dual SIM 64 GB Índigo-escuro 4 GB RAM ,1.739
GALAXY J5 SM-J500H, Samsung Galaxy J5 Dual SIM 16 GB Preto 1.5 GB RAM ,799
GALAXY S5, * Promoção * Samsung Galaxy S5 16gb G900 Original - Vitrine ,698
GALAXY S5 (SM-G900H), Samsung Galaxy S5 Sm-g900m ,149
GALAXY TAB Lite (SM-T111M),,
GALAXY Tab 7.0 Plus (GT-P6200),,
GALAXY Trend Pro Dual (GT-S7582L), Samsung Galaxy Trend Gt-s7560m - No Estado (leia).. ,48
GAMEPAD2,,
GO3C, Semp GO! 3c Dual SIM 8 GB Preto 512 MB RAM ,299
GO5c, Smartphone Semp Go 5c 16gb Android 8.1 Oreo Preto ,330
GRAND 5.5 HD, Promoção Smartphone Blu Grand X Dual Sim Tela 5.0 Hd ,418
GS170,,
GT-B9062, Samsung Galaxy S4 16 GB Black mist 2 GB RAM ,729
GT-i9300I Galaxy SIII Neo+, Galaxy S3 Neo I9300i Para Retirar Peças Ref X14 ,30
Galaxy A10, Samsung Galaxy A10 Dual SIM 32 GB Preto 2 GB RAM ,819
Galaxy A10e, Samsung Galaxy 10.1 ,800
Galaxy A20, Samsung Galaxy A20 Dual SIM 32 GB Preto 3 GB RAM ,1.099
Galaxy A20e,,
Galaxy A3, Samsung Galaxy A3 Dual SIM 16 GB Preto-meia-noite 1 GB RAM ,699
Galaxy A3 Duos, Samsung Galaxy A3 Dual SIM 16 GB Preto-meia-noite 1 GB RAM ,699
Galaxy A3(2016), Celular Samsung Galaxy A3 2016 Usado Seminovo Muito Bom ,419
Galaxy A3(2017), Celular ,330
Galaxy A30, Samsung Galaxy A30 Dual SIM 64 GB Preto 4 GB RAM ,1.599
Galaxy A40, Compramos Samsung A40 Com Tela Quebrada ,100
Galaxy A5, Samsung Galaxy A5 (2016) Dual SIM 16 GB Preto 2 GB RAM ,999
Galaxy A5 Duos, Samsung Galaxy A5 (2016) Dual SIM 16 GB Preto 2 GB RAM ,999
Galaxy A5(2016), Samsung Galaxy A5 (2016) Dual SIM 16 GB Preto 2 GB RAM ,999
Galaxy A5(2017), Samsung Galaxy A5 (2017) 32 GB Preto 3 GB RAM ,1.250
Galaxy A50, Smartphone Samsung Galaxy A50 128gb And 9.0 Tela 6.4 C/ Nf ,1.999
Galaxy A6, Celular Samsung Galaxy A6+ 2018 Prata 4gb 64gb Tela 6.0 ,1.940
Galaxy A6+, Celular Samsung Galaxy A6+ 2018 Prata 4gb 64gb Tela 6.0 ,1.940
