item_original_name,item_extracted_name,item_price
Galaxy S9, Samsung Galaxy S9 Dual SIM 128 GB Cinza-titânio 4 GB RAM ,2.288
Galaxy S9+, Samsung Galaxy S9+ Dual SIM 128 GB Cinza-titânio 6 GB RAM ,2.599
Galaxy Star Trios GT-S5283B, Celular Samsung Galaxy Star Trios 3 Chip Android Gt S5283b ,99
Galaxy Tab 2 (GT-P3100),,
Galaxy Tab 2 10.1, Galaxy Tab 2 10.1 Samsung Em Boas Condições De Uso ,400
Galaxy Tab 2 7.0 (WiFi), Smartphone Tablet Samsung Gtp5200 16 Gb Novo 10 Polegadas ,699
Galaxy Tab 3 10.1, Smartphone Tablet Samsung Gtp5200 16 Gb Novo 10 Polegadas ,699
Galaxy Tab 3 10.1 GT-P5200, Smartphone Tablet Samsung Gtp5200 16 Gb Novo 10 Polegadas ,699
Galaxy Tab 3 7.0,,
Galaxy Tab 3 Lite - 7, Samsung Galaxy Tab3 ,305
Galaxy Tab 3 V, Samsung Galaxy J2 Core Dual SIM 16 GB Prata (Lavanda) 1 GB RAM ,519
Galaxy Tab 4 10.1 (SM-T530),,
Galaxy Tab 4 10.1 3G, Smartphone Tablet Samsung Gtp5200 16 Gb Novo 10 Polegadas ,699
Galaxy Tab 4 8.0 3G (SM-T331),,
Galaxy Tab 4 SM-T330,,
"Galaxy Tab 9.7""", Samsung Galaxy Tab S2 Sm-t815 4g 32gb- Class Top A ,1.500
Galaxy Tab A, Samsung Galaxy Tab Pro 16gb Original Com Nf E Garantia 12x ,999
Galaxy Tab A (2017),,
"Galaxy Tab A (2018, 10.5)",,
"Galaxy Tab A (8.0"", 2019)",,
Galaxy Tab A 10.1, Galaxy Tab 2 10.1 Samsung Em Boas Condições De Uso ,400
Galaxy Tab A 7.0,,
Galaxy Tab A 8.0,,
Galaxy Tab A 9.7, Samsung Galaxy Tab S2 Sm-t815 4g 32gb- Class Top A ,1.500
Galaxy Tab A2 8.0, Samsung Galaxy Tab Pro 16gb Original Nf E Garant 12x S/juros ,999
Galaxy Tab E 9.6,,
Galaxy Tab Pro 10.1, Galaxy Tab 2 10.1 Samsung Em Boas Condições De Uso ,400
Galaxy Tab Pro 8.4 ( SM-T320), Sansung Tab Pro T320 8.4 Res 2500x1600p 32gb Sd Classe 10 ,800
Galaxy Tab S 10.5(SM-T800),,
Galaxy Tab S 8.4 (SM-T700),,
Galaxy Tab S 8.4 LTE SM-T705,,
Galaxy Tab S2 8.0,,
Galaxy Tab S2 9.7, Samsung Galaxy Tab S2 Sm-t815 4g 32gb- Class Top A ,1.500
Galaxy Tab S4,,
Galaxy Tab S5e,,
Galaxy Tab4 7.0, Samsung Galaxy A70 Dual SIM 128 GB Preto 6 GB RAM ,2.399
Galaxy Tab4 Active, Samsung Galaxy S10+ Dual SIM 128 GB Preto-prisma 8 GB RAM ,3.599
Galaxy TabA Plus 10.1, Galaxy Tab 2 10.1 Samsung Em Boas Condições De Uso ,400
Galaxy TabS 10.5,,
Galaxy TabS 8.4, Sansung Tab Pro T320 8.4 Res 2500x1600p 32gb Sd Classe 10 ,800
Galaxy TabS3, Samsung Galaxy Tab3 ,305
Galaxy Trend Lite  GT-S7390L, Samsung Galaxy Gt - S7390l ( Leia A Descrição ) ,45
Galaxy Trend Lite GT-S7392L DUOS, Celular Samsung Galaxy Trend Lite Gt-s7392l P/ Tirar Peças ,15
Galaxy Trend Plus GT-S7580,,
Galaxy Win 2 Duos TV,,
Galaxy WinDuos GT-I8552B, Celular Samsung Galaxy Win Gt-i8552b 5g Retirada De Peças Sg ,199
Galaxy Y Duos TV GT-S6313T, Celular Samsung Gt-s6313t Suporta Dois Chip De Qualquer Op ,159
Galaxy Young 2, Smartphone Samsung Galaxy Young 2 Duos Sm-g130bu/ds 4gb ,399
Galaxy Young Plus (GT-S6293T), Celular Samsung Galaxy Young Plus Android Gt S6293t Tv Digit ,119
Galaxy Young2, Smartphone Samsung Galaxy Young 2 Duos Sm-g130bu/ds 4gb ,399
Galaxy Young2 Pro, Smartphone Samsung Galaxy Young 2 Duos Sm-g130bu/ds 4gb ,399
Gigaset GS370_Plus,,
Glam,,
Glow, Smartphone Samsung Galaxy Note 10 256gb Dual 6.3 16mp Prata ,4.500
Go 2, Samsung Galaxy J2 Core Dual SIM 16 GB Prata (Lavanda) 1 GB RAM ,519
Google Nexus 7,,
Grand Energy," Samsung Galaxy Gran Prime G530mu - G530 4g, 8mp - Novo ",599
Grand MAX, Celular Blu Grand Max (defeito) ,79
Grand Prime Plus, Galaxy Grand Prime Plus (dual Sim)+capa+película+cartãosd4gb ,600
Grand S II,,
Grand X V970," Samsung Galaxy Gran Prime G530mu - G530 4g, 8mp - Novo ",599
Grand_M2, BLU Z5 Dual SIM 32 MB Cinza 32 MB RAM ,92
H206,,
HARRY,,
HM 2LTE-BR,,
HOT 4 PRO, Oukitel K Series K7 Dual SIM 64 GB Preto/Ouro 4 GB RAM ,1.700
HT-704,,
HT-705,,
HT16,,
HT704-G,,
HTC Bolt, Htc U12 Plus - 128gb ,3.899
HTC U11+, Htc U11 (sprint) 64gb/4gb Ram Azul Em Bom Estado ,900
HUAWEI GR3, Huawei P Series P30 Pro Dual SIM 256 GB Black 8 GB RAM ,4.540
HUAWEI GR5, Huawei P Series P30 Pro Dual SIM 256 GB Black 8 GB RAM ,4.540
HUAWEI Mat, Huawei Mate Series Mate 20 Pro 128 GB Twilight 6 GB RAM ,4.240
HUAWEI Mate 20 Pro, Huawei Mate Series Mate 20 Pro 128 GB Twilight 6 GB RAM ,4.240
HUAWEI Mate SE, Huawei Mate Se 64gb 100% Funcional Com Caixa E Procedência!! ,1.000
HUAWEI P smart, Huawei P Series P Smart 2019 Dual SIM 64 GB Azul-aurora 3 GB RAM ,1.669
HUAWEI P smart 2019, Huawei P Series P Smart 2019 Dual SIM 64 GB Azul-aurora 3 GB RAM ,1.669
HUAWEI P smart+ 2019,,
HUAWEI P10 lite, Celular Huawei P10 Lite ,669
HUAWEI P20 Lite, Huawei P20 Lite 32gb Android 8.0 Oreo Dual Sim Tela De 5.84 ,1.749
HUAWEI P30 Pro, Huawei P Series P30 Pro Dual SIM 256 GB Black 8 GB RAM ,4.540
HUAWEI P9 lite mini, Huawei P9 Lite 2016 ,900
HUAWEI Y5 2018,,
HUAWEI Y5 lite 2018,,
HUAWEI Y6 2018, Celular Huawei Y6 2018 16gb 2gb Azul + Nf ,949
HUAWEI Y6II, Huawei P Series P30 Pro Dual SIM 256 GB Black 8 GB RAM ,4.540
HUAWEI Y7 2018, Celular Huawey Y7 2019 3 32 Global Pronta Entrega Lacrado ,999
HUAWEI Y7 2019, Smartphone Huawei Y7 Pro - Global 4g + 64gb Azul ,1.590
HUAWEI Y9 2019, Huawei Y9 2019 64/3 Processador Hisilicon Kirin 710 ,870
HUAWEI nova, Huawei P Series P30 Pro Dual SIM 256 GB Black 8 GB RAM ,4.540
HUAWEI nova 2 Plus, Huawei P9 Plus ,2.790
HUAWEI nova 2 lite, Huawei P20 Lite 32gb Tela De 5.84 Câmera Dupla Dual Sim ,1.749
HUAWEI nova plus, Para Smartphones Samsung Galaxy iPhone Htc Huawei LG Plus ,106
Honor 10, Huawei Honor V10 - 6gb + 64gb - Pronta Entrega! Cor Azul ,2.290
Honor 10 Lite, Honor 10 Huawei ,300
Honor 4C, Honor 7A Dual SIM 32 GB Preto 3 GB RAM ,999
Honor 5A, Honor 7A Dual SIM 32 GB Preto 3 GB RAM ,999
Honor 5C, Apple iPhone 5c 8 GB Branco 1 GB RAM ,849
Honor 5X,,
Honor 7A, Honor 7A Dual SIM 32 GB Preto 3 GB RAM ,999
Honor 7X, Honor 7x 4g Ram 32g De Memória. ,700
Honor 8, Celular Huawei Honor Y5ll Cun-u29 Dual 8gb Original Vitrine ,558
Honor 8x, Huawei Honor 8x 64gb 4g Lacrado Notafiscal 4gbram 20mp ,1.999
Honor 9, Huawei Honor 9 6g 128gb Smart Global Version 5.15 Pol - Azul ,2.399
Honor 9 Lite, Honor 9 Litee ,650
Honor Note10," Huawei Honor Note 10 6gb 128gb Tela 6,95 Bateria 5000mah ",2.500
Honor Play, Huawei Honor Play ( Disponível) ,1.250
Honor V10, Huawei Honor V10 - 6gb + 64gb - Pronta Entrega! Cor Azul ,2.290
Honor V9, Huawei Honor V9 Black 6/128gb ,9.830
Honor View 10, Honor View 10 6gb / 128 Gb Dual 4g ,1.200
IDEOS S7,,
IDOL 5, Alcatel One Touch Idol Mini 6012e 8gb Dual Original ,284
Iconia One 7,,
Iconia One 7 B1-730HD,,
Ideatab A1000, Smartphone Lenovo A1000 Dual Chip Preto ,649
JERRY,,
K10, LG K Series K10 NOVO Dual SIM 32 GB Preto 2 GB RAM ,849
K10 (2017), LG K Series K10 NOVO Dual SIM 32 GB Preto 2 GB RAM ,849
K10 F670S, LG K Series K10 NOVO Dual SIM 32 GB Preto 2 GB RAM ,849
K10 LTE, LG K Series K10 LTE Dual SIM 16 GB Dourado 1 GB RAM ,729
K20, Xiaomi Mi 9T Dual SIM 128 GB Azul-glacial 6 GB RAM ,2.400
K20 Plus, Xiaomi K20 Pro 512 Gb 12gb Ram Exclusive Snap 855 + Plus Mi9 ,3.850
K3 2017,,
K3 LTE, LG K Series K10 LTE Dual SIM 16 GB Dourado 1 GB RAM ,729
K3 Note," Lenovo K3 Note Android Octa-core 4g Phone W/ 2gb Ram, 16gb R ",698
K4 LTE, LG K Series K4 Dual SIM 8 GB Branco 1 GB RAM ,499
K4/K7 (2017),,
K5, Lenovo Vibe Series Vibe K5 Dual SIM 16 GB Cinza-grafite 2 GB RAM ,619
K5 Note, Lenovo Note A7010 Vibe K4 K5 32gb 2ram 5.5lcd Dual Chip Bran ,630
K5 Plus," Lenovo K5 Play, 32 Gb Rom + 3 Ram ",740
K5000, Celular Oukitel K5000 5000mah ,150
K520, Vendo Um Lg -k520 Camera 13mp Frontal 8 Mp 2gb Ram ,990
K7, Oukitel K Series K7 Dual SIM 64 GB Preto/Ouro 4 GB RAM ,1.700
K8, LG K Series K8 Dual SIM 16 GB Dourado 1 GB RAM ,599
K8 (2017), LG K Series K8 (2017) Dual SIM 16 GB Dourado 1.5 GB RAM ,649
K8 (2017) Dual, LG K Series K8 (2017) Dual SIM 16 GB Dourado 1.5 GB RAM ,649
K8 Note,,
K8 Plus, Lenovo K Series K8 Plus Dual SIM 32 GB Fine gold 3 GB RAM ,745
K900,,
KIICAA MIX, Smartphone Leagoo Kiicaa Mix(display Infinito)pronta Entrega ,870
KIICAA POWER, Leagoo Kiicaa Power 3g Smartphone - 2 Gb De Ram 16gb Rom ,699
KING_KONG_3, Celular Dtc King Pro Dual Sim Mp4 Fm Tela 1.8'' B501 Azul ,120
KRZR K3, Samsung S3 Mini K3 ,200
L Fino,,
L20," LG L20 Single D100 Processador Dual Core, Android 4.4, 2mp ",269
L30 Sporty, Lg L30 Sporty ,350
L38011, K5 Play Câmera Dupla De 13 Mp ,700
L50 Dual TV (Sporty Dual), Celular-display Placa LG L50 D227 Sporty C/ Tv Dual Chip ,99
L70, Lg Magic Prata 49uf6900 70uf7300 40uf7700 43uf7700 49uf7700 ,399
L70 Dual D325, Celular Lg D 325 P/ Retirar Peças ,49
L90 Dual D410, Celular Lg D410 Funcionando Tem Trocar Touch Os 5113 ,149
LAI Zumbo S 2017 Lite,,
LENNY2,,
LENNY3,,
LG Aristo 3, LG K Series K40S Dual SIM 32 GB Aurora black 3 GB RAM ,679
LG Bello II, Celular Lg Bello 2 ,589
LG G4 Stylus, Celular LG G4 Stylus H630 16gb Usado Seminovo Excelente ,499
LG G7 ThinQ, LG G7 Thinq G710 Dual 4g 64gb Tela 6.1 Nacional Demonstração ,1.669
LG Joy, Smartphone LG Joy H222 Dual 4gb Cam 5mpx Open Box Anatel ,329
LG K40, LG K Series K40S Dual SIM 32 GB Moroccan blue 3 GB RAM ,736
LG K8(2018),,
LG Leon 4G LTE, Lg Leon Tv 4g 8gb Aparelho Todo Revisado ,250
LG Leon TV, Lg Leon Tv 4g 8gb Aparelho Todo Revisado ,250
LG Magna LTE, LG B220 Dual SIM 32 MB Preto 32 MB RAM ,92
LG Prime II, Smartphone LG Prime 2 X170ftv 8gb 3g Branco Vitrine 1 ,599
LG Prime Plus 4G, Celular LG Prime Plus 8gb Dual Chip C/ Acessórios + Caixa ,899
LG Q60, Smartphone LG Q60 6.26-inch 3gb / 64gb Dual Sim Desbloqueado ,1.850
LG Q7, LG Q7+ Plus 610ba Tv Digital Dual Chip 64 Gb - Demonstração ,899
LG Stylo 4,,
LG Tribute Dynasty,,
LG V35 ThinQ, Smartphone LG V35 Thinq Câmera Dupla 16mp E 128gb Ram Orig. ,2.799
LG Volt 4G, Lg Volt 4g ,299
LIFE ONE X2, Smartphone Blu Life One X2 5.2 4g 16gb 2gb Sensor Biometrico ,1.299
LIFE ONE X2 MINI, Smartphone Blu Life One X2 5.2 4g 16gb 2gb Sensor Biometrico ,1.299
LM-X520, Leeco Le S3/x520 ,650
LML413DL,,
Le 2, Celular Leeco Le 2 Pro 4gb Ram 32gb Rom (leia O Anuncio) ,350
Le Max2, Rebocador Scania S4 E S5 Le ,850
Le S3, Leeco Le X522 ,580
Le s2,,
Lenny4 Plus,,
Lenovo A5, Original Lenovo A5 4000 Mah Grande Bateria Mtk6739 16 3 Gb R ,1.235
Lenovo TAB 2 A10,,
Lenovo VIBE X3 Lite, Lenovo X3 Lite 4g Octa Core 2gb Ram 16gb + Imposto ,789
Lenovo Z2 Plus, Celular Lenovo Zuk Z2 Plus ,600
Leovo VIBE K6 Note, Celular Lenovo K6 Note 32gb Biometria Com Poucas Marcas Uso ,320
Life, Xiaomi Mi 8 Lite Dual SIM 64 GB Midnight black 4 GB RAM ,1.580
Life One X3, Smartphone Blu Life One X3 4g Dual Sim 5.5 Fhd 32gb/3gb ,1.099
Liquid Zest Plus,,
M1, Asus ZenFone Max M1 ZC520KL Dual SIM 32 GB Preto 2 GB RAM ,819
M10, Samsung Galaxy M10 Dual SIM 32 GB Azul-oceano 3 GB RAM ,868
M10A-Lite,,
M13, Celular Leagoo M13 4 32 Android 9.0 Global Pronta Entrega ,730
M4 SS4458,,
M5, Sony Xperia M5 16 GB Preto 3 GB RAM ,1.299
M6, Celular Meizu M6 Android Flyme Com Nf ,550
M6T,,
M7-3G PLUS,,
M7SQC Plus,,
M7s Quad Core,,
M8 Pro,,
M9, Celular V-mobile M9 64gb ,789
M9-3G,,
MAIMANG 6,,
MAX7,,
MI  PLAY, Xiaomi Mi Play Dual SIM 64 GB Black 4 GB RAM ,1.828
MI 4s, Celular Xiaomi Mi 4s ,500
MI 5X, Xiaomi Mi Note 10 Dual SIM 128 GB Branco glaciar 6 GB RAM ,3.394
MI 5s Plus,,
MI 6X, Xiaomi Mi A3 Dual SIM 128 GB Acinzentado 4 GB RAM ,1.559
MI 8 Lite, Xiaomi Mi 8 Lite Dual SIM 64 GB Midnight black 4 GB RAM ,1.580
MI 8 SE, Xiaomi Mi 9 SE Dual SIM 128 GB Azul-oceano 6 GB RAM ,3.100
MI 8 UD, Xiaomi Mi A2 Dual SIM 128 GB Dourado 6 GB RAM ,1.679
MI 9, Xiaomi Mi 9T Dual SIM 128 GB Azul-glacial 6 GB RAM ,2.400
MI 9 SE, Xiaomi Mi 9 SE Dual SIM 128 GB Azul-oceano 6 GB RAM ,3.100
MI CC 9, Xiaomi Not 10 6gb /128gb Rom Global ,3.340
MI MAX, Xiaomi Mi Max 3 Dual SIM 64 GB Dream gold 4 GB RAM ,1.499
MI MAX 2, Xiaomi Mi Max 3 Dual SIM 64 GB Dream gold 4 GB RAM ,1.499
MI MAX 3, Xiaomi Mi Max 3 Dual SIM 64 GB Dream gold 4 GB RAM ,1.499
MI Note 3, Xiaomi Mi A3 Dual SIM 64 GB Branco-puro 4 GB RAM ,1.595
MI6, Xiaomi Mi6 ,999
MIX, Xiaomi Mix 3 Dual SIM 128 GB Onyx black 6 GB RAM ,2.199
MIX 2, Xiaomi Mix 3 Dual SIM 128 GB Onyx black 6 GB RAM ,2.199
MIX 2S, Xiaomi Mi Mix 2s Dual Sim 64 Gb Preto 6 Gb Ram ,2.599
ML-JI11-M7_3G_PLUS,,
MS40G, Multilaser MS40G Dual SIM 8 GB Preto 512 MB RAM ,324
MS40s, Smartphone Ms40 3g 2chips 5mp 4pol Branco Multilaser Unidade ,505
MS45, Multilaser MS45 4G Dual SIM 8 GB Preto 1 GB RAM ,320
MS45 4G, Multilaser MS45 4G Dual SIM 8 GB Preto 1 GB RAM ,320
MS45S, Smartphone Ms45s Teen 3g Tela 4.5 Quad Core 8gb Android 6.0 ,339
MS50G, Multilaser MS50G Dual SIM 8 GB Preto 1 GB RAM ,419
MS50L, Multilaser MS50L Dual SIM 8 GB Grafite/Preto 1 GB RAM ,399
MS50L 4G, Multilaser MS50L Dual SIM 8 GB Grafite/Preto 1 GB RAM ,399
MS50M,,
MS50S, .Smartphone Ms50s 3g Tela 5 Dual Câmera 5mp + 8mp Android ,529
MS50X, Xiaomi Redmi Go Dual SIM 16 GB Preto 1 GB RAM ,562
MS50_4G, Multilaser MS50L Dual SIM 8 GB Grafite/Preto 1 GB RAM ,399
MS55, Celular Smartphone Multilaser Ms55 Dual Chip ,655
MS553,,
MS55M, Smartphone Ms55m 3g Tela 5.5 Pol. Android 7 Multilaser P9046 ,522
MS60, Multilaser MS40G Dual SIM 8 GB Branco 512 MB RAM ,303
MS60F, Multilaser Flip Vita Dual SIM 32 MB Vermelho/Preto 32 MB RAM ,195
MS60F Plus, Celular Smartphone Ms60f Plus Biometria Preto Multilaser ,736
MS60Z, Multilaser MS60Z Dual SIM 16 GB Preto 2 GB RAM ,740
MS70, Multilaser MS45 4G Dual SIM 8 GB Preto 1 GB RAM ,320
MS80," Smartphone Multilaser 32gb Dual 4g 5,7 7.1 20mp Ms80 -preto ",1.100
MS80X, Celular Multilaser Ms80x Com A Tela Quebrada ,399
MUV UP, Celular Smartphone Quantum Muv Up 32gb Usado Excelente ,709
MX, Apple iPhone XS Max Dual SIM 256 GB Cinza-espacial 4 GB RAM ,5.168
Magna H502, Lg H502 Prime Plus Defeito Tela ,189
Mate 10, Apple iPhone 7 32 GB Preto-fosco 2 GB RAM ,1.970
Mate 10 Pro, Celular Huawei Mate20 Pro Verde 8ram/256gb P Entrega Marcas ,3.490
Mate 10 lite, Huawei Mate 10 Lite 64gb Dual L23 4gb Ram Dual Cam Tela 5.9 ,3.637
Mate 20, Huawei Mate Series Mate 20 Pro 128 GB Twilight 6 GB RAM ,4.240
Mate 20 lite, Smartphone Huawei Mate 20 Lite 4gb Ram 64gb Dual Global ,1.419
Mate 9, Celular Huawei Mate 9 Pro Cor: Gold 128gb Dual Sim ,1.400
Mate 9Pro, Celular Huawei Mate 9 Pro Cor: Gold 128gb Dual Sim ,1.400
Max 4 Pro, Apple iPhone 11 Pro Max Dual SIM 64 GB Cinza-espacial 4 GB RAM ,7.000
MediaPad M3 Lite 10,,
MediaPad T3 7,,
Mi 5, Xiaomi Mi 8 Lite Dual SIM 64 GB Midnight black 4 GB RAM ,1.580
Mi 5s, Xiaomi Mi5s Prata 3gb/64gb Excelente Estado ,600
Mi 8, Xiaomi Mi 9T Dual SIM 64 GB Preto-carvão 6 GB RAM ,2.020
Mi A1, Celular Xiaomi Mi A1 Mia1 Tela 5.5 4g Ram 64gb 12mp Dual ,3.357
Mi A2, Xiaomi Mi A2 Lite Dual SIM 32 GB Preto 3 GB RAM ,1.199
Mi A2 Lite, Xiaomi Mi A2 Lite Dual SIM 64 GB Preto 4 GB RAM ,3.000
Mi A3, Xiaomi Mi A3 Dual SIM 64 GB Acinzentado 4 GB RAM ,1.470
Mi Note2, Xiaomi Mi Note 10 Dual SIM 128 GB Branco glaciar 6 GB RAM ,3.394
Mini S50,,
Mobi Tab, Lote De 4 Celulares No Estado Para Peças ,59
Motion, Smartphone Cce Motion Plus Sm70 - Defeito ,19
Motion Plus Sk351, Celular Cce Sk351 Para Retirada De Peças Ref: L97 ,30
Moto C, Motorola Moto G G (3rd Gen.) Dual SIM 16 GB Preto 2 GB RAM ,649
Moto C Plus, Motorola Moto C C Plus Dual SIM 8 GB Preto-brilhante 1 GB RAM ,549
Moto E (4) Plus, Celular Motorola Moto E4 Plus 16gb Usado Seminovo Muito Bom ,489
Moto E (5), Motorola Moto E E5 Dual SIM 16 GB Cinza-flash 2 GB RAM ,799
Moto E Dual SIM XT1022, Celular Motorola Moto E Dual Chip Xt1022 ,170
Moto E XT1025," Motorola Moto E Tv Xt1025 - Android, Dual Chip - De Vitrine ",429
Moto E2, Motorola Moto E 2ª Geração Dual Xt1523 16gb Dtv 4g Anatel ,499
Moto E3, Celular Motorola Moto E3 Xt1700 4g 8gb Branco ,599
Moto E4, Motorola Moto E E4 Dual SIM 16 GB Cinza-escuro 2 GB RAM ,799
Moto G, Motorola Moto G G8 Play Dual SIM 32 GB Knight gray 2 GB RAM ,879
Moto G (4) Play, Motorola Moto G G4 Play Dual SIM 16 GB Preto 2 GB RAM ,749
Moto G (5S), Motorola Moto G G5S Plus Dual SIM 32 GB Lunar gray 3 GB RAM ,1.100
Moto G (5S) Plus, Motorola Moto G G5S Plus Dual SIM 32 GB Lunar gray 3 GB RAM ,1.100
Moto G (5th Gen), Motorola Moto G G (3rd Gen.) Dual SIM 16 GB Preto 2 GB RAM ,649
Moto G 16GB (XT1034), Motorola Moto G Xt-1034 16gb 4.5 5mp Preto ,699
Moto G 2nd Gen, Motorola Moto G G (2nd Gen.) Dual SIM 8 GB Preto 1 GB RAM ,549
Moto G 4G, Motorola Moto G G8 Play Dual SIM 32 GB Knight gray 2 GB RAM ,879
Moto G 4G( XT1040), Celular Barato Motorola Moto G G1 Xt1040 8gb 4g - Vitrine ,299
Moto G G4 (XT1078), Caixa Original Celular Moto G4 Xt1078 Vazia ,40
Moto G Plus (5th Gen), Motorola Moto E4 Plus Xt1773 16/2gb 13mp Dourado Vitrine 1 ,639
Moto G Turbo Edition, Motorola Moto G Turbo Xt1556 16gb 2gb 4g Preto Reembalado ,499
Moto G XT1033 Claro Dual, * Celular Barato * Motorola Moto G 8gb Xt1033 Dual -vitrine ,449
Moto G2, Motorola Moto G G (2nd Gen.) Dual SIM 8 GB Preto 1 GB RAM ,549
Moto G3, Motorola Moto G G (3rd Gen.) Dual SIM 16 GB Preto 2 GB RAM ,649
Moto G4 Plus, Motorola Moto G G4 Plus Dual SIM 32 GB Preto 2 GB RAM ,999
Moto Maxx, Motorola One Dual SIM 64 GB Preto 4 GB RAM ,1.499
Moto X, Motorola Moto G G8 Play Dual SIM 32 GB Knight gray 2 GB RAM ,879
Moto X (4), Motorola Moto G G8 Play Dual SIM 32 GB Knight gray 2 GB RAM ,879
Moto X 16GB XT1052, Motorola Moto G G (3rd Gen.) Dual SIM 16 GB Preto 2 GB RAM ,649
Moto X 2G," Smartphone Motorola Moto E4 Plus 16gb, Tela 5.5' 2g Ram-novo ",817
Moto X 2nd Gen, Motorola Moto G G (2nd Gen.) Dual SIM 8 GB Preto 1 GB RAM ,549
Moto X Force," Motorola Moto Z2 Force Xt1789-05 64gb Dual Tela 5,5 | Usado ",1.379
Moto X Play, Motorola Moto G G8 Play Dual SIM 32 GB Knight gray 2 GB RAM ,879
Moto X Style, Motorola Moto Z Z3 Play Dual SIM 64 GB Índigo-escuro 4 GB RAM ,1.700
Moto X XT1053, Motorola Moto G G (3rd Gen.) Dual SIM 16 GB Preto 2 GB RAM ,649
Moto X-XT1058," Smartphone Motorola Xt1058 Moto X 16gb 10,5mp 4g | Vitrine ",499
Moto Z (2) Force, Motorola Moto Z2 Force Xt1789 64gb 6gb 4g Preto Reembalado ,1.399
Moto Z (2) Play, Motorola Moto Z Z2 Play Dual SIM 64 GB Ouro-fino 4 GB RAM ,1.800
Moto Z Droid, Motorola Moto Z Xt1650 Force Droid 32gb ,799
Moto Z Play, Motorola Moto Z Z3 Play Dual SIM 64 GB Índigo-escuro 4 GB RAM ,1.700
Moto Z(3), Motorola Moto Z Z3 Play Dual SIM 64 GB Índigo-escuro 4 GB RAM ,1.700
Moto Z3 Play, Motorola Moto Z Z3 Play Dual SIM 64 GB Índigo-escuro 4 GB RAM ,1.700
Motorola M, Motorola One Dual SIM 64 GB Preto 4 GB RAM ,1.499
Motorola Moto M, Motorola One Dual SIM 64 GB Preto 4 GB RAM ,1.499
N10, Smartphone Doogee N10 Octa-core 3gb Ram 32gb Rom Câmera 16.0 ,819
NOS NOVU II,,
NX505J,,
NX551J, Nubia M2 Nx551j 64gb 4gb ,399
NX573J,,
NX591J,,
NX907J,,
Neffos X9, (reparo) Smartphone Tp-link Neffos C5 Max 5.5 16gb 2gb Ram ,150
Next, Positivo Next X500 X 500 - Frontal Completa - Original ,103
Nexus 4,,
Nexus 5, Celular Smartphone LG Google Nexus 5 Com Defeito + Extras ,179
Nexus 5X, Lg Nexus 5x(sem Caixa) ,379
Nexus 6, Módulo Frontal Motorola Google Nexus 6 Xt1100 ,580
Nexus 6P, Nexus 6p ,350
Nokia 1, Nokia Cseries C2-01 43 MB Preto 64 MB RAM ,223
Nokia 2, Nokia Cseries C2-01 43 MB Preto 64 MB RAM ,223
Nokia 3.1, Celular Nokia X3 X3-00 Express Music Usado Garantia ,289
Nokia 3.1 Plus,,
Nokia 6.1," Nokia Asha 201 - 2mp, Mp3, Só Funciona Vivo - Novo ",149
Nokia 6.1 Plus, Nokia 6.1 Plus Completo Na Caixa Perfeito Estado ,1.190
Nokia 7," Nokia Lumia 925 - Windows 8, 4g, 8.7 Mp, 16 Gb - Novo ",699
Nokia 7 plus, Nokia 7 Plus Desbloqueado 6gb/64gb Android 10 !! ,1.499
Nokia 7.1, Nokia Lumia 930 32 GB Preto 2 GB RAM ,748
Nokia 9, 1 Celular Nokia 200 Rm-761 E 2 Celula Rm-799 Leia Descrição ,39
Note 5A Prime, Xiaomi Redmi Note 5a Prime 3gb/32gb Display Trincado ,450
OPTIMUS L5II (E450F) TITANIUM, Smartphone LG E450f - Defeito ,25
One, Motorola One Hyper Dual SIM 128 GB Deepsea blue 4 GB RAM ,1.839
One (A0001),,
One (M8), Original Htc One M8 16gb/32gb Rom 5.0 Frete Gratis ,1.699
One Pro, OnePlus 7T Pro McLaren Edition Dual SIM 256 GB Papaya orange 12 GB RAM ,6.049
One Touch POP C1 4015N, Aparelho Celular Alcatel / One Touch Pop C1 (4015n) - Novo ,269
One Touch POP C3 Dual 4033E, Celular Alcatel One Touch C3 4033e 4033 E 100% (02) Leia ,69
One Touch POP C7 7041X, Celular Alcatel One Touch C3 4033e 4033 E 100% (02) Leia ,69
One Touch Pop C7 7040E,,
OnePlus, OnePlus 7 Pro Dual SIM 256 GB Nebula blue 8 GB RAM ,4.299
OnePlus 6, Oneplus 6 64 / 6gb Snapdragon 845 Impecável ,1.899
OnePlus5, Oneplus6 Com Preço De Oneplus5 - 8gb De Ram + 128gb Memoria ,1.600
OnePlus6T,,
Optimus G 4G LTE E977," Lg Optimus G E977 - 4g, Android 4.1, 13mp, 4.7 Quad Core 1.5 ",899
Optimus G Pro E989, Lg Optimus G Pro E989 - 4g 16gb 13mp - Mancha No Display ,499
Optimus L1 II DUAL CHIP E435F, Celular Lg E435 Para Retirada De Peças Leia A Descrição ,70
Optimus L1 II E475F," Celular Lg Trios E475f Com Lcd Ruim, Sem Bateria E Sem Tampa ",28
Optimus L3 (E435f), Celular LG Optimus L3 Ii (e435f) ,100
Optimus L4 E467F, Smartphone Lg L4 E467f Dual Tv Wifi - Nao Inicializa - Pecas ,115
Optimus L4 II Dual E445, Aparelho Celular Lg Lg-e445 ,60
Optimus L4 II E440, Smartphone Lg L4 E467f Dual Tv Wifi - Nao Inicializa - Pecas ,115
